,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-1.426815080317909,,Intercept,312.3445226230003,312.0,-0.34452262300027314,313.0
1,1,grade:A,1.1179990271714049,8.013377989571935e-35,grade,85.38646249509922,85.0,-0.3864624950992237,85.0
2,2,grade:B,0.8798650343809138,3.142727157591278e-47,grade,67.19913070854294,67.0,-0.19913070854293835,67.0
3,3,grade:C,0.6865659078387977,4.2644098046961925e-34,grade,52.43603323020017,52.0,-0.4360332302001666,52.0
4,4,grade:D,0.4993126697228308,8.424827818153315e-21,grade,38.134686623550955,38.0,-0.13468662355095518,38.0
5,5,grade:E,0.32486926102205854,6.008253887055766e-12,grade,24.811682566712786,25.0,0.18831743328721373,25.0
6,6,grade:F,0.13714410103225097,0.005188975890528651,grade,10.474293228002113,10.0,-0.4742932280021126,10.0
7,7,home_ownership:OWN,0.09354790571523093,3.4248221286328776e-06,home_ownership,7.1446616219854855,7.0,-0.1446616219854855,7.0
8,8,home_ownership:MORTGAGE,0.10596144324143103,5.35586479864895e-17,home_ownership,8.092737631581052,8.0,-0.09273763158105197,8.0
9,9,addr_state:NM_VA,0.03769955079937534,0.2390660146467729,addr_state,2.8792791426279374,3.0,0.12072085737206262,3.0
10,10,addr_state:NY,0.05808120060316893,0.016463881257038043,addr_state,4.435914644326861,4.0,-0.43591464432686067,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.06054896157471777,0.008895454019196853,addr_state,4.624388314270152,5.0,0.37561168572984815,5.0
12,12,addr_state:CA,0.06430997349446728,0.002407139027895852,addr_state,4.911633200378695,5.0,0.08836679962130489,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.07936371309388868,0.0014407395078844826,addr_state,6.061352959052437,6.0,-0.06135295905243687,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.1364697031213936,1.3574274087811237e-09,addr_state,10.422786517779038,10.0,-0.42278651777903775,10.0
15,15,addr_state:RI_MA_DE_SD_IN,0.10175700958374406,0.0006483312744983369,addr_state,7.771626693109564,8.0,0.2283733068904361,8.0
16,16,addr_state:GA_WA_OR,0.18683369225213745,2.438680385972621e-12,addr_state,14.26930405894013,14.0,-0.2693040589401292,14.0
17,17,addr_state:WI_MT,0.2418098163262358,3.688322512786262e-07,addr_state,18.468070464180688,18.0,-0.46807046418068765,18.0
18,18,addr_state:TX,0.22339156692604548,7.953656052857664e-18,addr_state,17.061388415794948,17.0,-0.061388415794947804,17.0
19,19,addr_state:IL_CT,0.2630301899566695,2.1293947602371326e-19,addr_state,20.08876296309216,20.0,-0.08876296309216158,20.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.32195234413800294,1.6096595693929526e-25,addr_state,24.588904900481822,25.0,0.41109509951817813,25.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5239565180485809,7.200165805633539e-23,addr_state,40.016844818380015,40.0,-0.01684481838001517,40.0
22,22,verification_status:Not Verified,0.085990571307697,3.907362854277412e-09,verification_status,6.567475027660402,7.0,0.4325249723395981,7.0
23,23,verification_status:Source Verified,-0.010931696193913296,0.4156630707420105,verification_status,-0.8349013231532002,-1.0,-0.1650986768467998,-1.0
24,24,purpose:credit_card,0.30215623437893924,1.1065446101751393e-26,purpose,23.076989646165583,23.0,-0.07698964616558257,23.0
25,25,purpose:debt_consolidation,0.19843596659701201,2.2409577918298057e-14,purpose,15.155420360591078,15.0,-0.15542036059107822,15.0
26,26,purpose:oth__med__vacation,0.21378473692197794,6.21993497080837e-12,purpose,16.327672902719332,16.0,-0.3276729027193319,16.0
27,27,purpose:major_purch__car__home_impr,0.26599873353640024,1.5655457493139033e-17,purpose,20.315483585271096,20.0,-0.315483585271096,20.0
28,28,initial_list_status:w,0.054378519750760725,3.106055619532951e-05,initial_list_status,4.153124756275371,4.0,-0.15312475627537125,4.0
29,29,term:36,0.07903283254838472,1.57006743148575e-08,term,6.036082168468198,6.0,-0.036082168468198006,6.0
30,30,emp_length_int:1,0.09964136121035842,0.00012201635909544414,emp_length_int,7.610045398227798,8.0,0.3899546017722022,8.0
31,31,emp_length_int:2-4,0.12548640519794663,2.9499601349073143e-11,emp_length_int,9.583944145450994,10.0,0.41605585454900584,10.0
32,32,emp_length_int:5-6,0.09077503131174582,2.2208878292596357e-05,emp_length_int,6.932885108319072,7.0,0.06711489168092832,7.0
33,33,emp_length_int:7-9,0.06091780398379339,0.0034015797942853233,emp_length_int,4.652558417967665,5.0,0.3474415820323351,5.0
34,34,emp_length_int:10,0.12489228158086764,1.2440947926765213e-11,emp_length_int,9.538568333205864,10.0,0.4614316667941356,10.0
35,35,mths_since_issue_d:<38,1.0765114971540493,1.7211380036915686e-178,mths_since_issue_d,82.21787885616361,82.0,-0.21787885616360825,82.0
36,36,mths_since_issue_d:38-39,0.873733326125818,1.059941389245819e-147,mths_since_issue_d,66.73082540216063,67.0,0.2691745978393669,67.0
37,37,mths_since_issue_d:40-41,0.7723748045603708,5.457818380241167e-122,mths_since_issue_d,58.98963297724102,59.0,0.010367022758977384,59.0
38,38,mths_since_issue_d:42-48,0.5718268488087084,5.739999902147806e-86,mths_since_issue_d,43.67291079226476,44.0,0.3270892077352414,44.0
39,39,mths_since_issue_d:49-52,0.41098573401804983,7.172221111852592e-40,mths_since_issue_d,31.3887732555002,31.0,-0.38877325550020103,31.0
40,40,mths_since_issue_d:53-64,0.16536196945381598,1.5446664562509175e-08,mths_since_issue_d,12.629414927674404,13.0,0.37058507232559634,13.0
41,41,mths_since_issue_d:65-84,-0.07596432122314876,0.009431987849197784,mths_since_issue_d,-5.8017265734987244,-6.0,-0.19827342650127555,-6.0
42,42,int_rate:<9.548,0.8921674418832805,1.093687284361187e-31,int_rate,68.1387192334614,68.0,-0.13871923346140136,68.0
43,43,int_rate:9.548-12.025,0.5609933693709305,3.0566328404220946e-36,int_rate,42.84551071120598,43.0,0.1544892887940179,43.0
44,44,int_rate:12.025-15.74,0.3078824847069055,4.8483357850319157e-17,int_rate,23.514328362017146,24.0,0.48567163798285407,24.0
45,45,int_rate:15.74-20.281,0.1144408408672241,7.813811024372314e-05,int_rate,8.74034621598889,9.0,0.2596537840111104,9.0
46,46,mths_since_earliest_cr_line:141-164,0.05495344842349448,0.027183133800007638,mths_since_earliest_cr_line,4.197034566891165,4.0,-0.1970345668911646,4.0
47,47,mths_since_earliest_cr_line:165-247,0.03579543432806243,0.07467845053927483,mths_since_earliest_cr_line,2.73385346182443,3.0,0.2661465381755699,3.0
48,48,mths_since_earliest_cr_line:248-270,0.07749030130626942,0.0031427215307783356,mths_since_earliest_cr_line,5.918272328878594,6.0,0.08172767112140633,6.0
49,49,mths_since_earliest_cr_line:271-352,0.12023955771042939,2.852949007212514e-07,mths_since_earliest_cr_line,9.183219515713272,9.0,-0.18321951571327233,9.0
50,50,mths_since_earliest_cr_line:>352,0.12787857249739354,1.4171926270561384e-06,mths_since_earliest_cr_line,9.766644396910973,10.0,0.23335560308902714,10.0
51,51,inq_last_6mths:0,0.6895581670988211,3.775850528048769e-15,inq_last_6mths,52.66456512233252,53.0,0.33543487766748115,53.0
52,52,inq_last_6mths:1-2,0.5431447677013986,5.62473792486736e-10,inq_last_6mths,41.48233514485391,41.0,-0.4823351448539128,41.0
53,53,inq_last_6mths:3-6,0.33279478870469975,0.0001599201658916336,inq_last_6mths,25.416989687542653,25.0,-0.4169896875426531,25.0
54,54,acc_now_delinq:>=1,0.19748161600589664,0.06280359303601953,acc_now_delinq,15.082532443003513,15.0,-0.08253244300351348,15.0
55,55,annual_inc:20K-30K,-0.07473574340452993,0.07551574030319987,annual_inc,-5.707894726348356,-6.0,-0.29210527365164385,-6.0
56,56,annual_inc:30K-40K,-0.011410918680777198,0.7776084715879639,annual_inc,-0.8715016348770307,-1.0,-0.1284983651229693,-1.0
57,57,annual_inc:40K-50K,0.08341657034497858,0.038684248538441435,annual_inc,6.370887346165212,6.0,-0.3708873461652118,6.0
58,58,annual_inc:50K-60K,0.15042856611190422,0.000232498661908282,annual_inc,11.488885773901853,11.0,-0.4888857739018526,11.0
59,59,annual_inc:60K-70K,0.2260731657326986,6.345694576970363e-08,annual_inc,17.26619381398076,17.0,-0.2661938139807596,17.0
60,60,annual_inc:70K-80K,0.29993083694113726,1.994930621777285e-12,annual_inc,22.90702633650124,23.0,0.09297366349876057,23.0
61,61,annual_inc:80K-90K,0.375953786343115,2.5314629951971153e-17,annual_inc,28.713230599757352,29.0,0.2867694002426475,29.0
62,62,annual_inc:90K-100K,0.395590866496964,7.781851074099758e-18,annual_inc,30.213000069425075,30.0,-0.21300006942507466,30.0
63,63,annual_inc:100K-120K,0.47407129556619654,2.554161241662202e-25,annual_inc,36.20689277456777,36.0,-0.20689277456776978,36.0
64,64,annual_inc:120K-140K,0.5664672276605586,9.350315368284777e-28,annual_inc,43.26357314613792,43.0,-0.26357314613792227,43.0
65,65,annual_inc:>140K,0.5008126689656712,5.469754924917828e-26,annual_inc,38.24924810882838,38.0,-0.24924810882838244,38.0
66,66,dti:<=1.4,0.25278022698960295,0.0024086899932226923,dti,19.305928580241304,19.0,-0.30592858024130365,19.0
67,67,dti:1.4-3.5,0.36762848644148616,1.4312429612146264e-07,dti,28.077391130728998,28.0,-0.07739113072899784,28.0
68,68,dti:3.5-7.7,0.3860354975066201,1.411630454568072e-10,dti,29.483214858444075,29.0,-0.4832148584440752,29.0
69,69,dti:7.7-10.5,0.32124452402749265,7.824321657072239e-08,dti,24.53484559108128,25.0,0.4651544089187212,25.0
70,70,dti:10.5-16.1,0.24224600871903065,2.7688605164614404e-05,dti,18.501384379920182,19.0,0.49861562007981775,19.0
71,71,dti:16.1-20.3,0.14116638153935712,0.014725937817637334,dti,10.78149233579895,11.0,0.2185076642010504,11.0
72,72,dti:20.3-21.7,0.12867654259278083,0.03368959199909648,dti,9.827588853897117,10.0,0.172411146102883,10.0
73,73,dti:21.7-22.4,0.09418079062519924,0.1453170887646093,dti,7.192997803248046,7.0,-0.19299780324804594,7.0
74,74,dti:22.4-35,0.052187147559655755,0.3615811339817502,dti,3.9857601031217857,4.0,0.014239896878214253,4.0
75,75,mths_since_last_delinq:Missing,0.11835252854968491,0.023147860332069465,mths_since_last_delinq,9.03909886735392,9.0,-0.03909886735391943,9.0
76,76,mths_since_last_delinq:4-30,0.1452238822169441,0.005811223245672263,mths_since_last_delinq,11.091381361648258,11.0,-0.09138136164825816,11.0
77,77,mths_since_last_delinq:31-56,0.19141582948399125,0.0003314740393098329,mths_since_last_delinq,14.61926186694017,15.0,0.38073813305983073,15.0
78,78,mths_since_last_delinq:>=57,0.1443248729042945,0.008215520527249632,mths_since_last_delinq,11.022720098899653,11.0,-0.02272009889965254,11.0
79,79,mths_since_last_record:Missing,0.3326630870737777,4.119112666237918e-05,mths_since_last_record,25.4069310594974,25.0,-0.40693105949739916,25.0
80,80,mths_since_last_record:3-20,0.44318242321989026,0.00029606499429203,mths_since_last_record,33.847774854056894,34.0,0.1522251459431061,34.0
81,81,mths_since_last_record:21-31,0.36824488845821135,0.0010645437539710337,mths_since_last_record,28.124468441535047,28.0,-0.12446844153504699,28.0
82,82,mths_since_last_record:32-80,0.5172603173865504,1.3121919615253879e-09,mths_since_last_record,39.505426764524714,40.0,0.4945732354752863,39.0
83,83,mths_since_last_record:81-86,0.1800483514060438,0.07803425312047758,mths_since_last_record,13.751077980392198,14.0,0.24892201960780191,14.0
84,84,mths_since_last_record:>86,0.2451550641787958,0.003519321639101307,mths_since_last_record,18.723561634886003,19.0,0.27643836511399655,19.0
85,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
86,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
87,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
88,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
89,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
90,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
91,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
92,7,emp_length_int:0,0.0,,emp_length_int,0.0,0.0,0.0,0.0
93,8,mths_since_issue_d:>84,0.0,,mths_since_issue_d,0.0,0.0,0.0,0.0
94,9,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
95,10,mths_since_earliest_cr_line:<140,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0
96,11,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
97,12,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
98,13,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
99,14,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0
100,15,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
101,16,mths_since_last_record:0-2,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
